title,rel_year,director,producer,studio,prc,cat,award,lc
Too Many Girls,1940,Abbott,Abbott,RKO,bnw,musc,,Prague city hospital school
The Wonderful Life of Nina Petrovna,1929,Schwarz,Abbott,RKO,bnw,musc,,Prague city hospital school
Show Boat,1929,Pollard,Laemle,Universal,bnw,musc,,Prague city hospital school ship
The Company She Keeps,1951,Cromwell,John Houseman,RKO,bnw,susp,,NYC city airplane home
Call Her Savage,1932,Dillon,Sam E. Rork,Paramount,bnw,dram,,NYC city airplane home
Blue Express,1929,Trauberg,Sam E. Rork,Paramount,bnw,dram,,NYC city airplane home train
The Letter,1929,deLimur,Sam E. Rork,Paramount,bnw,dram,H*,NYC city airplane home train
Pattes Blanches,1949,Gremillon,Sam E. Rork,Gaumont,bnw,dram,H*,NYC city airplane home train town
Brazil,1944,Santley,Robert North,Republic,bnw,musc,H*,NYC city airplane home train town csd
Ten Cents A dance,1931,Barrymore,Barrymore,MGM,bnw,susp,H*,London city
Heaven Knows Mr.~Allison,1957,McCarey,Jerry Wald,Fox,bnw,,H**,Empire State building city afterlife
Hit the Deck,1930,L.Reed,William leBaron,RKO,col,musc,,S.F. city
Not a Hope in Hell,1960,Rogers,William leBaron,RKO,col,musc,,S.F. city
Nadyezhda,1973,Donskoi,William leBaron,Soyuzdetfilm,bnw,biop,H***,S.F. city river
The Girl who Couldn\\'t Quite,1950,N.Lee,Argyle,Monogram,bnw,horr,,S.F. city river public
Berlin-Alexanderplatz,1931,Jutzi,Argyle,Prometheus,bnw,dram,,Berlin city
Why Must I Die?,1960,delRuth,Richard Bernstein,AIP,bnw,dram,,Paris city bar
Silk Stockings,1957,Mamoulian,Freed,MGM,cs,musc,H*,Paris city
The Crimson Pirate,1952,R.Siodmak,Hellinger,Universal,bnw,actn,H***,Brentwood town ship
Too Many Blondes,1941,Freeland,Winfield Sheean,Fox,bnw,,,London city
La Iocandiera,1929,Ruggiero,Winfield Sheean,A.G.Film,bnw,dram,,Venice city
Bruder,1929,Hochbaum,Winfield Sheean,A.G.Film,bnw,docu,,Hamburg city
Madonna\\'s Secret,1946,Thiele,E.Lloyd Sheldon,Paramount,bnw,horr,,Hamburg city csd
St.Joan -- The Maid,1929,Gastyne,E.Lloyd Sheldon,Paramount,bnw,dram,,Hamburg city csd
Symphony in Black,1935,Unknown49,E.Lloyd Sheldon,Sack Amusement Enterprises,bnw,musc,,Hamburg city csd
Twenty-one Days,1939,Dean,Balcon,Gaumont,bnw,romt,,Dartmoor jail csd
The Chinese Bungalow,1930,J.B.Williams,Balcon,Gaumont,bnw,romt,,Dartmoor jail csd
Rich and Famous,1981,Cukor,William Allyn,MGM,mcol,dram,,London city
Topaze,1933,dAbbabie,Selznick,RKO,bnw,romt,,London city
Vendetta,1950,H.Hughes,H.Hughes,RKO,col,west,H*,London city
Second Hand Wife,1933,MacFadden,H.Hughes,Fox,bnw,,H*,London city
Bad Sister,1931,Henley,H.Hughes,Universal,bnw,romt,H*,London city sea
The Silent Enemy,1930,H.Carver,H.Hughes,Paramount,sbw,docu,H*,London city sea csd
Hot Rods to Hell,1967,Brahm,Sam Katzman,MGM,mcol,actn,H*,London city town town roads
Le Testament d\'Orph\\'ee,1959,Cocteau,Sam Katzman,Sirius,bnw,dram,H**,Hell afterlife
Sing; Sister; Sing,1935,Parrott,H.Roach,Sirius,bnw,,,Hell afterlife home hospital
L\'Atalante,1934,Vigo,Jacques LouisNounez,Gaumont,bnw,romt,H**,Seine river
Green Hell,1940,Whale,Harry Edgington,Universal,bnw,musc,H*,Waterloo Bridge river palace estate
Follow Thru,1930,Schwab,Harry Edgington,Paramount,tcol,musc,H*,golf links sports
The Letter,1999,deOliveira,deOliveira,Paramount,tcol,romt,H*,Escurial csd palace ship church
Banana Peel,1968,Max~Ophuls,John Houseman,Franco-London,cs,musc,H*,Vienna city
Here Come the Waves,1944,Sandrich,Berman,RKO,bnw,musc,H*,London city ship
Before I Hang,1940,Grinde,Wallace MacDonald,Columbia,ecol,horr,H*,London city ship school
Tarakanova,1930,Bernard,Wallace MacDonald,Columbia,ecol,horr,H*,London city ship school
Westward Passage,1932,Milton,Selznick,RKO,bnw,dram,H*,London city ship school ship afterlife
The Bounty Killer,1965,Bennet,Selznick,Columbia,tv,actn,,London city ship school ship afterlife
Kuhle Wampe,1932,Dudow,Selznick,Columbia,bnw,dram,,London city ship school ship afterlife beach
They Knew What They Wanted,1930,Unknown11,Selznick,Columbia,bnw,dram,,Napa town
Too Young to Marry,1931,UnYear30,Selznick,Columbia,bnw,dram,,Napa town
So Lang noch ein Waltzer von Strauss Erklingt,1931,C.Wiene,Selznick,Columbia,bnw,musc,,Vienna city
Inside the Mafia,1959,E.L.Cahn,Robert E. Kent,U.A.,bnw,advt,,Havana city
The Hands of Orlac,1961,Greville,Donald taylor,Continental,bnw,horr,,Marseille city
Lysistrata,1962,Kortner,Donald taylor,Continental,bnw,horr,,Marseille city
Out of the Blue,1931,Gerrard,Donald taylor,BIP,bnw,horr,,Marseille city
The Shop at Sly Corner,1946,G.King,G.King,British Aviation,bnw,dram,,London city store
Send For Paul Temple,1931,Argyle,Argyle,British Aviation,bnw,dram,,London city store
The Second Wife,1965,J.Newman,Hitchcock,Shamley,tv,susp,H**,Beale street slum
Sidewalks of New York,1931,J.White,Hitchcock,Shamley,tv,,H**,Beale street slum
Public Hero Number One,1935,J.W.Ruben,Lucien Hubbard,MGM,bnw,cnr,,airplanes mil.inst. airplane
The Queen\'s Necklace,1947,LHerbier,Osso,MGM,bnw,,H*,Cote resort theater
Lady Chatterley\\'s Lover,1955,M.Allegret,Gilbert Cohen-Seat,Orsay Film,bnw,dram,,Paris city csd
Great Guns,1941,Banks,Basil Dean,ATP,bnw,,H*,Paris city csd
Casanova\\'s Big Night,1954,McLeod,Paul Jones,Paramount,tcol,,,Rio de Janeiro city city airplane
Daphnis and Chloe,1931,Laskos,Paul Jones,Paramount,tcol,dram,,Lesbos island
The Exile,1931,Micheaux,Paul Jones,Paramount,tcol,dram,,Lesbos island
Bulldog Drummond\'s Bride,1939,S.Walker,Stanley Bergerman,Universal,bnw,horr,H*,London city
Invaders From Mars,1954,Menzies,Edward D. Alperson,Columbia,prc,s.f.,,London city
Luise; Konigin von Preussen,1931,Frohlich,Edward D. Alperson,Columbia,bnw,dram,,London city
Les Orgeilleux,1953,Y.Allegret,Edward D. Alperson,Paris,bnw,dram,,Veracruz town
Side Street Story,1952,DeFilippo,Edward D. Alperson,Paris,bnw,dram,,Veracruz town
The Journey,1959,Litvak,Litvak,MGM,tcol,dram,,Paris city
Let\\'s do it Again,1953,A.Hall,Oscar Saul,Columbia,tcol,romt,,Paris city casino afterlife sports
Goona-Goona,1932,Roosevelt,Oscar Saul,Columbia,tcol,docu,,Bali island
Vanity Fair,1932,Ch.Franklin,Hoffman,Allied,bnw,dram,,Bali island
House of Dracula,1945,Kenton,Alex Gottlieb,Universal,bnw,,,Bali island island afterlife hotel casino
Mary Had a Little,1961,Buzzell,M.LeRoy,MGM,bnw,musc,,NYC city csd
Just for You,1952,Nugent,Pat Duggan,Paramount,tcol,musc,,Long Island town
Colt 45,1950,E.Marin,Warren Duff,RKO,bnw,west,,Long Island town movies theater ship
The Gun Hawk,1963,Ludwig,William C. Thomas,Paramount,tcol,advt,,Alcatraz; S.F. prison island mil.inst.
Icare; Killer of the Amazon,1942,Buck,William C. Thomas,Paramount,tcol,advt,,Alcatraz; S.F. prison island mil.inst.
Lady Scarface,1941,Woodruff,Cliff Reid,RKO,bnw,advt,,Alcatraz; S.F. prison island mil.inst.
Without a Trace,1983,Humberstone,Stanley R. Jaffe,Fox,deluxe,,,S.F. city school
Scrooge,1935,H.Edwards,Stanley R. Jaffe,Fox,bnw,dram,,S.F. city school
Shootout,1971,Hathaway,Wallis,Universal,tcol,west,,Nome town csd
Santa Fe,1951,Pichel,J.Harrison,RKO,bnw,susp,H*,Nome town csd csd
Mad Love,1935,Freund,Considine,MGM,bnw,horr,,London city city
The Fly,1958,K.Neumann,K.Neumann,Fox,cs,horr,,Badgad city am.park am.park work
Tiefland,1945,Riefenstahl,Riefenstahl,Nazi party,bnw,dram,H****,Party Congress mil.inst.
Sarumba,1950,Gering,Gering,Paramount,bnw,,H****,NYC city
Rosebud,1979,Preminger,Preminger,Rank,tcol,susp,,London city
Romeo and Juliet,1966,Czinner,Czinner,Trafalgar,bnw,musc,H*,Vienna city
Voyage Suprise,1946,Prevert,Czinner,Trafalgar,bnw,,H*,Vienna city train bar
Island at the Top of the World,1981,Stevenson,Winston Hibler,Disney,tcol,,H**,Shangri-La palace
Sorrowful Jones,1949,Lanfield,Robert L. Welch,Paramount,bnw,dram,H*,Broadway city movies town
The Ex-Mrs.~Bradford,1936,S.Roberts,Edward Kaufman,MGM,bnw,,H*,Brooklyn city town
Social Decay,1932,Tatassopoulos,Edward Kaufman,MGM,bnw,,H*,Brooklyn city town
White Zombie,1932,Halperin,Edward Halperin,American Securities,bnw,horr,H**,Brooklyn city town work
This Man is Mine,1946,Mr.Varnel,Edward Black,Gainsborough,bnw,,H**,Brooklyn city town work public jail
The Man Who Came to Dinner,1942,Keighley,Jerry Wald,Warners,bnw,dram,,Brooklyn city town work public jail bar
L\\'Aiglon,1932,Tourjansky,Jerry Wald,Warners,bnw,dram,,Brooklyn city town work public jail bar
Cry the Beloved Country,1951,Z.Korda,Harry Joe Brown,Columbia,bnw,dram,Baer,Brooklyn city town work public jail bar river
Unholy Love,1932,UnYear32,Harry Joe Brown,Columbia,bnw,dram,Baer,Brooklyn city town work public jail bar river
Buddy Buddy,1981,B.Wilder,Jay Weston,MGM,mcol,,,Climax town movies
Le Rouge et le Blanc,1970,AutantLara,Lois Wipf,Franco London,ecol,dram,H*,Paris city
The Battle of Villa Florita,1956,Daves,Daves,Warners,cs,west,H*,S.F. city csd roads train csd csd
Berlin Correspondent,1942,E.Forde,Daves,Fox,bnw,,H*,S.F. city csd roads train csd csd
Beware of Blondie,1950,Strayer,Phil Goldstone,Columbia,bnw,,H*,S.F. city csd roads train csd csd town town town town town town town town town school town town town town town town town town town town town town town town town town town town
The Only Game in Town,1970,G.Stevens~sr.,Fred Kohlmar,Fox,deluxe,dram,H**,Las Vegas city
Turnabout,1941,H.Roach,H.Roach,U.A.,bnw,advt,H**,Las Vegas city
Fire in the Straw,1933,BenoitLevy,H.Roach,U.A.,bnw,advt,H**,Las Vegas city
Dirty Work,1933,L.French,H.Roach,U.A.,bnw,,H***,Las Vegas city
The Last Days of Pompeii,1935,M.C.Cooper,M.C.Cooper,RKO,bnw,dram,,Pompeii city
La Mort du Cygne,1938,M.Epstein,M.C.Cooper,RKO,bnw,dram,,Pompeii city
The Girl Most Likely,1957,Leisen,Leisen,Paramount,tcol,dram,Baer,Manhattan city ship
Heroes for Sale,1933,Barthelmess,Leisen,Paramount,tcol,dram,Baer,Manhattan city ship
Once in a Lifetime,1933,Mack,Laemmle~jr,Universal,bnw,,H**,Manhattan city ship movies
Ulysses,1954,Camerini,Pont deLaurentiis,Lux,tcol,advt,H*,Manhattan city ship movies sea
Busman\'s Honeymoon,1940,A.Woods,Harold Huth,MGM,bnw,,H*,Manhattan city ship movies sea
The Barbarians,1967,Lubin,Howard Welsch,Lux,cs,advt,,Paris city
The Egg and I,1947,Erskine,Erskine,U-I,bnw,,H*,Paris city csd
Tarzan and his Mate,1934,C.Gibbons,B.Hyman,MGM,bnw,,H***,Paris city csd
Oliver!,1968,C.Reed,C.Reed,Columbia,cs,,AA,Belfast city estate roads
The Man Who Wouldn\\'t Talk,1940,D.Burton,Wurtzel,Fox,bnw,susp,,Belfast city estate roads
Imitation of Life,1959,Sirk,R.Hunter,U-I,ecol,dram,H*,Munich city public
Atlantis; The Lost Kingdom,1962,Ulmer,Jack Pollexfen,Allied Artists,bnw,noir,NFR,Paris city
The Jolly Fellows,1934,Alexandrov,Jack Pollexfen,Allied Artists,bnw,musc,NFR,Paris city
Babes in Toyland,1934,Meins,Jack Pollexfen,Allied Artists,bnw,musc,H**,Paris city
Only One Night,1938,Molander,Jack Pollexfen,Allied Artists,bnw,romt,H**,Paris city resort
The Mummy\\'s Tomb,1942,H.Young,Ben Pivar,Universal,bnw,horr,,NYC city
The Pleasure Seekers,1964,Negulesco,David Weisbart,Fox,cs,romt,,Madrid city
The Mind of Mr.~Reeder,1939,Raymond,David Weisbart,Fox,cs,romt,,Madrid city
Born to Be Bad,1941,L.Sherman,R.Griffith,20th Cent,bnw,dram,,NYC city
Ordinary Fascism,1964,Romm,R.Griffith,20th Cent,bnw,dram,,NYC city
Manon des Sources,1952,Pagnol,Pagnol,Willy,bnw,dram,H*,Paris city town csd csd
Orient Express,1934,P.Martin,Pagnol,Fox,bnw,dram,H*,Paris city town csd csd train
Mission: Monte Carlo,1985,R.W.Baker,Robert S. Baker,ITC,col,susp,,Monte Carlo city
The Silver Streak,1934,Atkins,Glendon Allvine,RKO,bnw,advt,,Monte Carlo city train
Take Me Out To The Ball Game,1949,Berkeley,Freed,MGM,tcol,musc,,NYC city
Angels over Broadway,1940,Hecht,Hecht,Paramount,bnw,dram,H**,NYC city
Once in a Blue Moon,1936,MacArthur,Hecht,Paramont,bnw,susp,H**,NYC city bar
Tarzan and the Green Goddess,1935,Kull,Cohen,Paramont,bnw,advt,H**,NYC city bar
Bluebeard,1972,Dmytryk,Alexander Salkind,Geiselgasteig,tcol,horr,,Hollywood town palace
Anne of Green Gables,1934,Nicholls,Alexander Salkind,RKO,bnw,dram,,Hollywood town palace
Walpurgis Night,1935,Edgren,Alexander Salkind,RKO,bnw,,,Hollywood town palace
George White\'s 1935 Scandals,1935,G.White,Winfield Sheean,Fox,bnw,musc,H*,NYC city
The Lost City,1935,Revier,Krellberg,Fox,bnw,s.f.,,NYC city csd
Salt of the Earth,1954,H.Biberman,Krellberg,Fox,bnw,docu,NFR,NYC city csd work
Valley of Fire,1951,English,Krellberg,Fox,bnw,west,NFR,NYC city csd work
The Eternal City,1953,Auer,Auer,Fox,bnw,west,NFR,NYC city csd work
Spoilers of the Forest,1953,Kane,Kane,Republic,bnw,west,,NYC city csd work
A Fine Mess,1935,Parent,Kane,Republic,bnw,,,NYC city csd work estate
Dangerous Mission,1954,L.King,Irwin Allen,RKO,prc,dram,,NYC city csd
Mimi,1935,P.Stein,Irwin Allen,RKO,prc,dram,,Paris city
Foreign Affaires,1935,Walls,Balcon,Gainsborough,bnw,,,Paris city casino
Pygmalion,1935,Engel,Balcon,Gainsborough,bnw,dram,,Paris city casino
Invitation to the Waltz,1935,Merzbach,Balcon,Gainsborough,bnw,dram,,Paris city casino
The House on the Square,1935,UnYear35,Balcon,Gainsborough,col,dram,,Paris city casino
Scrooge,1950,Hurst,Balcon,BIP,prc,dram,,Paris city casino
Speed,1936,E.Marvin,Balcon,MGM,bnw,actn,,Muroc Dry Lake sports desert
Flash Gordon,1936,Stephani,Henry MacRae,Univeral,bnw,s.f.,,Muroc Dry Lake sports desert space
Along the Navajo Trail,1946,F.McDonald,Wallis,Republic,bnw,west,,Muroc Dry Lake sports desert space sea
Viva Knievel,1977,G.Douglas,Herbert Hirshman,Warners,tcol,actn,,S.F. city
The Man Who Loved Redheads,1955,French,Disney,Associated,tcol,susp,,S.F. city trains
Three for the Show,1955,H.Potter,Jonie Taps,Columbia,cs,romt,H*,NYC city csd mil.inst. theater
Flight from Folly,1945,Mason,Edward Black,Gainsborough,bnw,,H*,NYC city csd mil.inst. theater home
Mr. Hobbs Takes a Vacation,1962,Koster,Jerry Wald,Fox,cs,,H*,Chinatown town resort
West of Zanzibar,1953,Watt,Leslie Norman,Ealing,tcol,,RFP,Chinatown town resort
We\\'re Only Human,1936,Flood,Leslie Norman,Ealing,bnw,,,Chinatown town resort
Dracula\\'s Daughter,1936,Hillyer,E.M. Asher,Universal,bnw,horr,,Chinatown town resort
Fort Algiers,1953,Selander,Rudy Abel,U.A.,bnw,west,,Chinatown town resort csd
Terrain Vague,1960,Carne,Sacha Gordine,Paris,bnw,noir,H****,Lyon city
The Return of Mr.~Moto,1965,N.Foster,Welles,Fox,col,,H*,Istanbul city
The Third Sex,1957,Harlan,Welles,Tarra,bnw,dram,H*,Istanbul city
Crime By Night,1944,Clemens,Welles,Warners,bnw,,,Istanbul city
Bel Ami,1939,Forst,Welles,Warners,bnw,,,Vienna city
Bunker Bean,1936,W.Hamilton,Welles,RKO,bnw,,,Vienna city
Charlie Chan\\'s Secret,1936,Wiles,Welles,Fox,bnw,,,Vienna city
The Amorous Prawn,1962,Kimmins,Kimmins,Fox,bnw,,,Vienna city
Sierra de Teruel,1938,A.Malraux,A.Malraux,Continentale Cinematographique,bnw,docu,,Vienna city
Oscar Wilde,1960,Ratoff,Damon Runyon,Fox,tcol,musc,H**,NYC city
Soft Beds; Hard Battles,1973,J.Boulting,J.Boulting,Rank,col,,,NYC city afterlife bar
John Paul Jones,1959,Farrow,Farrow,RKO,col,dram,,Calcutta city csd
The Farmer\\'s Daughter,1940,J.Hogan,William C. Thomas,Paramount,bnw,,,Calcutta city csd
Snow White and the Seven Dwarfs,1937,Hand,Disney,Disney,tcol,,H****,Calcutta city csd
Son of Robin Hood,1958,G.Sherman,Sam Katzman,Columbia,bnw,dram,,Calcutta city csd csd airplane csd csd
Outcasts of Glory,1964,Decoin,Sam Katzman,Gaumont,bnw,cnr,H**,Paris city
Le Puritain,1938,Musso,Sam Katzman,Gaumont,bnw,dram,Delluc,Paris city
The Age of Consent,1969,M.Powell,M.Powell,AngloAmalgamated,ecol,susp,H*,Vienna city river home
A Mother\\'s Justice,1991,N.Nosseck,Maurice King,Worldvision,tv,dram,,Vienna city river home casino roads slum
Virginity,1937,Vavra,Maurice King,Worldvision,tv,dram,,Vienna city river home casino roads slum
Ave Maria,1954,Hansen,Maurice King,Neue Ufer,tv,dram,,Vienna city river home casino roads slum
The Lust for Gold,1949,S.Simon,Martin Gosch,MGM,bnw,,H*,Vienna city river home casino roads slum csd movies
The Republic Story,1991,Witney,Sidney Picker,Republic,col,docu,H*,L.A. city
Two Sisters,1938,Blake,Sidney Picker,Republic,col,docu,H*,L.A. city
Lady Hamilton,1967,ChristianJaque,Sidney Picker,Filmsonor,bnw,hist,Baer,L.A. city
Vessel of Wrath,1938,Pommer,Pommer,Mayflower,bnw,,H**,L.A. city resort
The Golden Idol,1954,Beebe,Beebe,Allied Artists,bnw,advt,H**,L.A. city resort space space
Some Kind of Hero,1982,Kanin,Walter Mirisch,U.A.,movielab,dram,,Napa town
Tangier,1946,Waggner,Waggner,Universal,tcol,horr,H*,S.F. city
Time to Kill,1943,Leeds,John Stone,Fox,bnw,,H*,S.F. city island
Paint Your Wagon,1969,J.Logan,William Goetz,Pennebaker,tcol,musc,H**,Tucson town island palace
Fireman Save My Child,1954,Goodwins,Howard Christie,UI,bnw,actn,,S.F. city
The Dybbuk,1938,Waszynski,Howard Christie,UI,bnw,actn,,S.F. city
That Wonderful Urge,1948,Sinclair,Kohlmar,Fox,bnw,romt,,S.F. city
Mr.~Wong in Chinatown,1939,Nigh,Scott R. Dunlap,Monogram,bnw,,,S.F. city
Tarzan\\'s Revenge,1938,Lederman,Scott R. Dunlap,Monogram,bnw,advt,,S.F. city
Andalusische Nachte,1938,Maisch,Scott R. Dunlap,Monogram,bnw,dram,,S.F. city
Das Madchen Johanna,1938,Ucicky,Scott R. Dunlap,Monogram,bnw,dram,,S.F. city
The Great Waltz,1972,And.Stone,And.Stone,MGM,col,musc,,S.F. city
Sing; Bing; Sing,1939,Stafford,Mack Sennett,MGM,bnw,musc,,S.F. city
A Farewell to Arms,1957,Ch.Vidor,Selznick,Fox,cs,romt,,NYC city
Mr.~Bug goes to Town,1941,D.Fleischer,M.Fleischer,Paramount,tcol,,H*,NYC city
Ludwig II,1955,Kautner,M.Fleischer,Paramount,bnw,biop,H*,NYC city
Dragon Seed,1944,Bucquet,M.Fleischer,Paramount,bnw,s.f.,H*,NYC city
Weekend With Lulu,1961,Carstairs,George H. Brown,GFD,bnw,dram,H*,NYC city
Curse of the Demon,1957,J.Tourneur,Frank Bevis,Sabre,bnw,horr,H***,NYC city csd csd town train
Two Tickets to Broadway,1951,Kern,H.Hughes,RKO,tcol,susp,,Carmel town home
Please Murder Me,1956,Godfrey,Saul Elkins,Warners,tcol,west,,Carmel town home town
These Wilder Years,1956,Rowland,Jules Schermer,MGM,bnw,dram,,S.F. city
Dangerous Money,1946,Morse,Jules Schermer,Fox,bnw,,,S.F. city
What a Life,1939,T.Reed,Jules Schermer,Fox,bnw,musc,,S.F. city
Blackwell\\'s Island,1939,McGann,Bryan Foy,Warners,bnw,actn,,S.F. city jail
Of Mice and Men,1939,UnYear39,Bryan Foy,Warners,bnw,dram,,Soledad town
Gold for the Caesars,1964,deToth,Bryan Foy,Warners,wcol,advt,,Soledad town csd
The East Side Kids,1940,B.Hill,Katzman,Monogram,bnw,dram,,Soledad town csd
The Mummy\'s Hand,1940,Cabanne,Ben Pivar,Universal,bnw,horr,H**,Soledad town csd
The Phantom Tollbooth,1969,Ch.Jones,Ben Pivar,Warners,col,,NFR,Soledad town csd
Beyond the Rockies,1940,F.Allen,Tom Keene,RKO,bnw,west,,Soledad town csd
Caesar and Cleopatra,1945,G.Pascal,G.Pascal,GB,bnw,,H***,Soledad town csd
New Mexico,1952,Reis,Irving Allen,U.A.,acol,west,,Miami city city
Spellbound,1940,Harlow,R.Murray Leslie,Amalgamated Pyramid,bnw,dram,,Miami city city
Terror in a Texas Town,1958,J.H.Lewis,Sidney Harmon,Allied Artists,bnw,susp,H*,Cornwall csd public town
Le Soleil des Voyous,1967,Delannoy,J.P. Guilbert,Jolly,bnw,cnr,H*,Paris city
Charlie Chan at the Wax Museum,1940,Shores,Ralph Dietrich,Fox,bnw,,H*,Paris city museum
Calling All Husbands,1940,N.Smith,Ralph Dietrich,Warners,bnw,romt,,Paris city museum
The Deep,1969,Welles,Welles,Internacional Films Espanola,bnw,dram,H*,Mexican border town palace
June Night,1940,Lindberg,Welles,Internacional Films Espanola,bnw,romt,H*,Mexican border town palace
Les Carnets de Major Thompson,1950,P.Sturges,Paul Wagner,SNE Gaumont,bnw,,,Palm Beach train resort theater
Los Bordeles de Paprika,1991,Brass,Giancarlo Lui,Penthouse,ecol,18+,,London city
Julieta y Romeo,1940,Castellvi,Giancarlo Lui,Penthouse,ecol,romt,,London city
The Man who Haunted Himself,1970,B.Dearden,Relph,Excalibur,tcol,susp,,Arabia
Arruza,1968,Boetticher,Boetticher,Excalibur,tcol,west,,Arabia
Dumbo,1941,Sharpsteen,Boetticher,Disney,tcol,,H***,Arabia am.park
A Fish Named Wanda,1988,Ch.Crichton,Michael Shamberg,MGM Twickenham,col,,,London city
They Saved Hitler\\'s Brain,1963,Bradley,Carl Edwards,Crown,bnw,horr,,London city csd
Executive Action,1973,D.Miller,Edward Orloff,EA Enterprises,col,biop,H*,London city
Half a Sixpence,1967,Sidney,Sidney,Paramount,tcol,musc,H*,Padua town bar
Born Again,1978,Rapper,Frank Capra~jr.,Warners,tcol,dram,,Manhattan city sports
The Dead,1987,J.Huston,John Foreman,ABC,col,dram,NSFC,Dublin city
