stagename,dowstart,dowend,lname,fname,gender,dob,dod,roletype,origin
Eve Bartok,1951,1964,"Sj""oke",Eva,F,1926,1984,agreeable,Hu
James Barton,1923,1961,Barton,James,M,1890,1962,grubby,Am
Richard Basehart,1947,1982,Basehart,Richard,M,1915,1984,thoughtful,Am
Tony Basil,1969,,,,M,,1992,unknown,
Kim Basinger,1982,1989,Basinger,Kim,F,1953,1998,stunning; vulnerable looking lead,Am
Count Basie,1982,,Basie,William,M,,1984,musician,Am
Richard Baskin,1975,1976,Baskin,Richard,M,,1984,unknown,Ct
Alfie Bass,1954,1967,Bass,Alfie,M,,1987,unknown,Ct
Lina Basquette,1916,1928,Basquette,Lena,F,1907,1984,dancer; rebel,Am
Albert Basserman,1913,1948,Basserman,Albert,M,1867,1952,sympathetic,Ge
Angela Bassett,1991,1993,Bassett,Angela,F,1958,1984,mother,
Steve Bassett,1983,,,,M,,1992,unknown,
Alexandra Bastedo,1963,1975,Bastedo,Alexandra,F,1946,1984,lead,Ca
Alan Bates,1959,1983,Bates,Alan,M,1934,2003,thoughtful tough,Br
Barbara Bates,1949,,,,F,,1992,unknown,Ct
Florence Bates,1937,1953,Rabe,Florence,F,1888,1954,matron (friendly or fiendish),Am
Kathy Bates,1982,1990,Bates,Kathy,F,1958,1984,plump,Am
Michael Bates,1955,1977,Bates,Michael,M,1920,1978,stupid policeman,Br
Belinda Bauer,1983,1990,,,F,,1992,dancer,Am
Steven Bauer,1983,1986,,,M,,1992,unknown,
Harry Baur,1910,1942,Baur,Harry,M,1880,1943,celebrated,Am
Barbara Baxley,1958,1979,Baxley,Barbara,F,,1984,gorgeous,Am
Alan Baxter,1935,1971,Baxter,Alan,M,1908,1976,colonel,Am
Anne Baxter,1940,1983,Baxter,Ann,F,1923,1985,shy innocent; cold eyed schemer,Am
Jane Baxter,1932,1951,Forde,Feodora,F,1909,1984,gentle-mannered,Br
Warner Baxter,1914,1950,Baxter,Warner,M,1889,1951,distinguished,Am
Sarah Bay,1972,,Neri,Rosalba,F,,1992,unknown,It
Nathalie Baye,1950,1982,Baye,Nathalie,F,,1992,unknown,
Gary Bayer,,,,,M,,1992,unknown,Ct
Geoffrey Bayldon,1953,1983,Bayldon,Geoffrey,M,1924,1984,lanky excentric,Br
Stephanie Beacham,1969,1980,Beacham,Stephanie,F,1949,1984,lead,Br
John Beal,1933,1983,Bliedung,Alexander,M,1909,1984,boyish innocence,Am
Jennifer Beals,,,,,F,,1992,unknown,Ct
Emanuelle Beart,1985,1991,B'eart,Emanuelle,F,1965,,naive beauty,Fr
The Beatles,1964,1981,The Beatles,,G,,,pop,Am
Ned Beatty,1972,1983,Beatty,Ned,M,1937,1984,chubby,Am
Robert Beatty,1943,1973,Beatty,Robert,M,1909,1984,lead,Ca
Warren Beatty,1961,1978,Beaty,Warren,M,1937,1984,pschological maladjusted,Am
Louise Beavers,1929,1961,Beavers,Louise,F,1902,1962,happy housekeeper,Am
John C. Becher,,,,,M,,1992,unknown,Ct
Sidney Bechet,1930,,Bechet,Sidney,M,1892,1959,clarinetist,Am
Jenny Beck,1976,,Beck,Jennifer,F,1974,1984,daughter,Am
John Beck,1969,1981,Beck,John,M,1943,1984,lead,Am
Kimberly Beck,,,,,F,,1992,unknown,Ct
Michael Beck,1977,1981,Beck,Michael,M,1948,1984,lead,Am
Stanley Beck,,,,,M,,1992,unknown,Ct
Barry Beckerman,,,,,M,,1992,unknown,Ct
Scotty Beckett,1934,1956,Beckett,Scotty,M,1929,1968,soulful-looking,Am
Reginald Beckwith,1941,1965,Beckwith,Reginald,M,1908,1965,high voice,Br
Don Beddoe,1939,1969,Beddoe,Don,M,1888,1979,genial look,Am
Bonnie Bedelia,1969,1990,Bedelia,Bonnie,F,1946,1984,lead,Am
Kabir Bedi,1976,1983,Bedi,Kabir,M,1935,1984,lead,In
Alfonso Bedoya,1947,1957,Bedoya,Alfonso,M,1904,1957,beaming face,Me
Molly Bee,,,,,F,,1992,unknown,Ct
Noah Beery,1918,1946,Beery,Noah,M,1884,1946,villain,Am
Noah Beery~jr.,1920,1982,Beery~jr.,Noah,M,1913,1994,easy going sidekick,Am
Wallace Beery,1916,1949,Beery,Wallace,M,1880,1949,tough; ugly; slow-thinking; easy-going,Am
Hagan Beggs,,,,,M,,1992,unknown,Ct
Ed Begley,1947,1969,Begley,Ed,M,1901,1970,jovial uncle,Am
Ed Begley~jr.,1972,1979,Begley~jr.,Ed,M,,1984,character actor,Am
Harry Belafonte,1953,1974,Belafonte,Harry,M,1927,1984,ballad singer,Am
Charles Belcher,,,,,M,,1992,unknown,Ct
Barbara BelGeddes,1947,,Lewis,Barbara Geddes,F,1927,1984,placid,Am
Ann Bell,1962,1980,Bell,Ann,F,,1984,character,Br
James Bell,1932,1963,Bell,James,M,1891,1973,character,Am
Marie Bell,1928,1966,Bellon-Downey,Marie-Jeanne,F,1900,1985,distinguished,Fr
Rex Bell,1929,1942,Beldam,George F.,M,1905,1962,cowboy,Am
Tom Bell,1961,1978,Bell,Tom,M,1933,1984,gaunt; lead,Br
Madge Bellamy,1923,1928,Philpott,Margaret,F,1903,1984,general purpose,Am
Ralph Bellamy,1931,1983,Bellamy,Ralph,M,1904,1991,rich `other man',Am
Harry Bellaver,1940,1980,Bellaver,Harry,M,1905,1984,cop; small-time gangster or cabbie,Am
Kathleen Beller,1974,1983,Beller,Kathleen,F,1955,1984,lead,Am
Agostina Belli,,,,,M,,1992,unknown,Ct
Olga Bellin,,,,,F,,1992,unknown,Ct
JeanPaul Belmondo,1958,1983,Belmondo,Jean,M,1933,1984,interesting but unhandsome lead,Fr
Belmonts,,,,,,,1992,unknown,Ct
Lionel Belmore,1915,1940,Belmore,Lionel,M,1867,1953,portly,Br
Richard Beltran,,,,,M,,1992,unknown,Ct
Robert Beltran,,,,,M,,1992,unknown,Ct
Jim Belushi,,,,,M,,1992,unknown,Ct
John Belushi,1978,1981,Belushi,John,M,1949,1982,overweight comic,Am
Richard Belzer,,,,,M,,1992,unknown,Ct
Pat Benatar,,,,,F,,1992,singer,Ct
Brian Benben,,,,,M,,1992,unknown,Ct
Robert Benchley,1933,1946,Benchley,Robert,M,1889,1945,lovable bumbler,Am
William Bendix,1942,1965,Bendix,William,M,1906,1964,sweet tough,Am
Billy Benedict,1935,1976,Benedict,Billy,M,1906,1984,an original `Bowery Boy'; now cabby; bartender,Am
Dirk Benedict,1975,1983,Niewoehner,Dirk,M,1945,1984,lead,Am
Paul Benedict,,,,,M,,1992,unknown,Ct
Richard Benedict,1946,1960,Benedetto,Riccardo,M,1916,1984,heavy,Am
Annette Bening,1990,1991,Bening,Annette,F,,1984,sex kitten,Am
Richard Benjamin,1953,1982,Benjamin,Richard,M,1938,1984,diffident,Am
Alma Bennett,1914,1930,Bennett,Belle,F,1889,1958,silent vamp,Am
Barbara Bennett,1929,1930,Bennett,Barbara,F,1902,1958,silent lead,Am
Belle Bennett,1918,1931,Bennett,Belle,F,1891,1932,silent lead,Am
Bruce Bennett,1934,1961,Brix,Herman,M,1909,1984,athletic,Am
Constance Bennett,1922,1965,Bennett,Constance,F,1904,1965,worldly,Am
Hywel Bennett,1966,1980,Bennett,Hywel,M,1944,1984,innocent,Br
Jill Bennett,1953,1982,Bennett,Jill,F,1944,1990,emancipated; unusual,Br
Joan Bennett,1915,1978,Bennett,Joan,F,1910,1990,attractive,Am
Joe Bennett,,,,,M,,1992,unknown,Ct
John Bennett,1959,1977,Bennett,John,M,1928,1984,swarthy,Br
Marjorie Bennett,1947,1976,Bennett,Marjorie,F,1894,1982,bathing beauty,Am
Richard Bennett,1923,1943,Bennett,Richard,M,1873,1944,dapper,Am
Annette Benning,1993,,Benning,Anette,F,1958,1984,lively,Am
Jack Benny,1929,1967,Kubelsky,Benjamin,M,1894,1974,reproachful comedian,Am
Martin Benson,1949,1981,Benson,Martin,M,1918,1984,smooth crook,Br
Robby Benson,1973,1982,Segal,Robert,M,1956,1984,cute juvenile,Am
Michael Bentine,1966,,Bentine,Michael,M,1922,1984,goonish,Br
Barbi Benton,,,,,F,,1992,playboy girl,Ct
Susanne Benton,,,,,F,,1992,unknown,Ct
Iris Berben,,,,,F,,1992,unknown,Ct
Tom Berenger,1977,1983,Berenger,Tom,M,1950,1984,brooding,Am
Marisa Berenson,1972,1981,Berenson,Marisa,F,1946,1984,fashion model,Ct
Judith-Marie Bergan,,,,,F,,1992,unknown,Ct
Candice Bergen,1966,1982,Bergen,Candice,F,1946,1984,stylish,Am
Polly Bergen,1950,1970,Burgin,Nellie,F,1929,1984,singer,Am
William Bergen,,,,,M,,1992,unknown,Ct
Helmut Berger,1969,1977,Steinberger,Helmut,M,1944,1984,sinister; handsome,Os
Katya Berger,,,,,F,,1992,unknown,Ct
Senta Berger,1957,1977,Berger,Senta,F,1941,1984,lead,Os
Sidney Berger,,,,,M,1962,1984,unknown,Ct
William Berger,,,,,M,,1992,unknown,Ct
Jacques Bergerac,1957,1965,Bergerac,Jacques,M,1927,1984,lead,Fr
Herbert Berghof,1952,1980,Berghof,Herbert,M,1909,1990,character,Os
Ingrid Bergman,1934,1978,Bergman,Ingrid,F,1915,1982,innocent; strong beauty,Sw
Harold Bergman,,,,,M,,1992,unknown,Ct
Henry Bergman,,,,,M,,1992,unknown,Ct
Sandahl Bergman,,,,,,,1992,unknown,Ct
Tracy Bergman,,,,,,,1992,unknown,Ct
Elisabeth Bergner,1924,1979,Ettel,Elisabeth,F,1898,1986,fey gamine,Ge
Thommy Bergren,,,,,M,,1992,unknown,Ct
Steven Berkoff,,,,,M,,1992,unknown,Ct
Milton Berle,1937,1980,Berlinger,Mendel,M,1908,2002,brash comic,Am
Irving Berlin,1943,,Baline,Israel,M,1888,1984,singer,Am
Jennie Berlin,1972,,Berlin,Jean,F,,1984,unknown,Am
Shelley Berman,1964,1970,Berman,Shelley,M,1926,1984,cabaret monologuist,Am
Susan Berman,,,,,F,,1992,unknown,Ct
Jason Bernhard,,,,,M,,1992,unknown,Ct
Sandra Bernhard,1982,1992,Bernhard,Sandra,F,,1992,elegant sexy,Am
Herschel Bernardi,1937,1976,Bernardi,Herschel,M,1923,1986,balding; beaming cop or gangster,Am
Sarah Bernhardt,1900,1923,Bernard,Rosalie,F,1844,1923,dignified heroine; courtesan,Fr
Elizabeth Berridge,,,,,F,,1992,unknown,Ct
Phillip Berrigan,,,,,M,,1992,unknown,Ct
Chuck Berry,,,,,M,,1992,unknown,Ct
Halle Berry,,,Berry,Halle,F,196x,2002,strong beauty,Am
Jules Berry,1934,1947,Paufichet,Jules,M,1883,1951,saturnine; character,Fr
Ken Berry,1970,1974,Berry,Ken,M,1933,1984,bird-like comic hero,Am
Michael Berryman,,,,,M,,1992,unknown,Ct
Marina Berti,1949,1977,Berti,Marina,F,1928,1984,lead,It
Bibi Besch,,,,,F,,1992,unknown,Ct
Joe Besser,1955,1959,Besser,Joe,M,1916,,bald stooge,Am
Eugenie Besserer,1912,1933,Besserer,Eugenie,F,1870,1934,character,Am
Edna Best,1921,1948,Best,Edna,F,1900,1974,maternal,Br
Willie Best,1930,1955,Best,Willie,M,1916,1962,goggled-eyed servant,Am
Barbara Bestar,,,,,F,,1992,unknown,Ct
Jack Beutel,,,,,M,,1992,unknown,Ct
Turhan Bey,,,Bey,Turhan,M,,1995,romantic sheik,Ct
Richard Beymer,1952,1983,Beymer,Richard,M,1939,1984,juvenile lead,Ct
Daniela Bianchi,1959,1968,Bianchi,Daniela,F,1942,1984,lead,Ct
Charles Bickford,1929,1966,Bickford,Charles,M,1889,1967,rugged; projected sincerity and warmth,Am
Michael Biehn,,,,,M,,1992,unknown,Ct
Ramon Bieri,,,,,M,,1992,unknown,Ct
Theodore Bikel,1951,1976,Bikel,Theodore,M,1924,1984,heavily-built; can play most nationalities,Os
Tony Bill,1963,1980,Bill,Tony,M,1940,1984,light lead,Am
Peter Billingsley,,,,,M,,1992,unknown,Ct
Herman Bing,1929,1946,Bing,Herman,M,1889,1947,plump;explosive comedy,Ge
Geoff Binney,,,,,M,,1992,unknown,Ct
Edward Binns,1951,1979,Binns,Edward,M,,1984,solid; character,Am
Julliette Binoche,1987,,Binoche,Julliette,F,1964,1984,charming lead,Fr
Paul Birch,1953,1967,Birch,Paul,M,1900,1969,burly,Am
Brad Bird,,,,,M,,1992,unknown,Ct
Norman Bird,1954,1981,Bird,Norman,M,1920,1984,underdog,Br
David Birney,1973,1982,Birney,David,M,1944,1984,lead,Am
Jennifer Bishop,,,,,F,,1992,unknown,Ct
Pat Bishop,,,,,,,1992,unknown,Ct
Julie Bishop,1933,1957,Brown,Jacqueline,F,1914,1984,lead,Am
Whit Bissell,1943,1966,Bissell,Whit,M,1919,1981,attorneys to garage attendant,Am
Jacqueline Bisset,1964,1988,Bisset,Jacqueline,F,1944,1984,lead,Br
Bonnie Bittner,,,,,F,,1992,unknown,Ct
Bill Bixby,1962,1983,Bixby,Bill,M,1934,1993,diffident light lead,Am
Gunnar Bjornstrand,1952,1982,"Gunnar Bj""ornstrand",Gunnar,M,,1986,lead,Sw
Karen Black,1967,1983,Ziegeler,Karen,F,1942,1984,lead,Am
Honor Blackman,1947,1978,Blackman,Honor,F,1926,1984,`charm school' product; `English rose'; later kinky and judo,Br
Joan Blackman,1961,1966,Blackman,Joan,F,1938,1984,lead,Am
Sidney Blackmer,1929,1968,Blackmer,Sidney,M,1895,1973,suave,Am
Ruben Blades,1988,1991,Blades,Ruben,M,1948,1984,singer,
Gerard Blain,1954,1980,Blain,Gerard,M,1930,1984,equiv.of James Dean,Fr
Vivian Blaine,1942,1983,Stapleton,Vivienne,F,1921,1984,vivacious,Am
Betsy Blair,1947,1973,Boger,Elizabeth,F,1923,1984,shy and nervous,Am
Janet Blair,1941,1972,Lafferty,Martha,F,1921,1984,vivacious,Am
Linda Blair,1974,1981,Blair,Linda,F,1959,1984,possessed child,Am
Amanda Blake,1950,1974,Neill,Beverly,F,1929,1989,wife,Am
Jon Blake,,,,,M,,1992,unknown,Ct
Mary Blake,,, McDonald,Blossom,F,1896,1978,best friend,Am
Robert Blake,1943,1983,Gubitosi,Michael (Bobby),M,1933,1984,unusual roles,Am
Whitney Blake,1959,,Blake,Whitney,F,,1984,unknown,Ct
Colin Blakely,1960,1983,Blakely,Colin,M,1930,1987,stocky,Br
Susan Blakely,1972,1980,Blakely,Susan,F,1950,1984,lead,Am
Ronee Blakley,1975,1981,Blakley,Ronee,F,1946,1984,pop singer,Am
Michel Blanc,1990,,Blanc,Michel,M,,1992,unknown,Fr
Pierre Blanchar,1923,1958,Blanchar,Pierre,M,1892,1963,distinguished,Am
Alan Blanchard,,,,,M,,1992,unknown,Ct
Mari Blanchard,1950,1964,Blanchard,Mary,F,1927,1970,decorative,Am
Pierre Blanchard,,,,,M,,1984,unknown,
Clara Blandick,1930,1950,Blandick,Clara,F,1880,1962,sensible; no-nonsense,Am
Sally Blane,1927,1949,Jung,Elizabeth,F,1910,1984,lead,Am
Mark Blankfield,,,,,M,,1992,unknown,Ct
Roger Blay,,,,,M,,1992,unknown,Ct
Debra Blee,,,,,F,,1992,unknown,Ct
Brian Blessed,1970,1983,Blessed,Brian,M,1937,1984,massive,Am
Bernard Blier,1937,1982,Blier,Bernard,M,1916,1989,plump and bald,Ar
Dan Blocker,1963,1972,Blocker,Dan,M,1928,1972,heavyweight,Am
Michael Blodgett,,,,,M,,1992,unknown,Ct
Joan Blondell,1930,1979,Blondell,Joan,F,1909,1979,blonde dame,Am
Claire Bloom,1948,1981,Bloom,Claire,F,1931,1984,lead,Br
Verna Bloom,1969,1980,Bloom,Verna,F,,1984,lead,Am
Eric Blore,1920,1954,Blore,Eric,M,1887,1959,unctuous or insulting butlers; eccentric types,Br
Monte Blue,1916,1954,Blue,Monte,M,1890,1963,burly hero,Am
Ann Blyth,1944,1957,Blyth,Ann,F,1928,1984,diminutive,Am
Betty Blythe,1920,1964,Slaughter,Elizabeth Blythe,F,1893,1972,lead,Am
John Blythe,1944,1969,Blythe,John,M,1921,1984,spiv types,Br
Eleanor Boardman,1922,1934,Boardman,Eleanor,F,1898,1984,sympathetic,Am
Hart Bochner,,,,,M,,1992,unknown,Ct
Lloyd Bochner,1963,1981,Bochner,Lloyd,M,1924,1984,lead,Ca
Carl Boehm,1952,1974,Boehm,Karlheinz,M,1928,1984,blond; handsome,Ge
Paul Boensh~III,,,,,M,,1992,unknown,Ct
Dirk Bogarde,1947,1981,Van Den Bogaerd,Derek,M,1921,1999,character,Br
Humphrey Bogart,1930,1956,Bogart,Humphrey DeForest,M,1899,1957,tough,Am
Roman Bohnen,1937,1948,Bohnen,Roman,M,1894,1949,hard-working immigrant type,Am
Richard Bohringer,1990,,,,M,,1992,unknown,Ct
Curt Bois,1937,1954,Bois,Curt,M,1900,1984,head waiters and pompous clerks,Ge
Mary Boland,1916,1950,Boland,Mary,F,1880,1965,fluttery matrons,Am
Ray Bolger,1936,1984,Bolger,Ray,M,1904,1987,rubber-legged eccentric dancer,Am
Tiffany Bolling,1977,1977,Bolling,Tiffany,F,,1984,lead,Am
Joseph Bologna,1971,1979,Bologna,Joseph,M,1938,1984,unknown,Am
Fortunio Bonanova,1932,1969,Bonanova,Fortunio,M,1893,1969,impresario,Sp
Derek Bond,1946,1971,Bond,Derek,M,1919,1984,lead,Br
Lillian Bond,1931,1955,Bond,Lillian,F,1910,1992,lead,Br
Sudie Bond,,,,,F,,1992,unknown,Ct
Ward Bond,1930,1960,Bond,Ward,M,1903,1960,burly,Am
Natalya Bondartchuk,,,,,F,,1992,unknown,Ct
Sergei Bondartchuk,1948,1982,Bondartchuk,Sergei,M,1920,1984,unknown,Ru
Beulah Bondi,1931,1971,Bondy,Beulah,F,1889,1981,old lady,Am
Peter Bonerz,,,,,M,,1992,unknown,Ct
Sandrine Bonnaire,1983,1990,Bonnaire,Sandrine,F,1967,1984,quiet beauty,Fr
Beverly Bonner,,,,,F,,1992,unknown,Ct
Val'erie Bonnier,,,,,F,,1992,unknown,Ct
Sonny Bono,,, Bono,Salvatore,M,1940,1998,comedian,Ct
Bonzo,1951,1952,Bonzo,,A,,,chimpanzee,Ct
Pat Boone,1957,1970,Boone,Pat,M,1934,1984,gentle-mannered,Am
Richard Boone,1951,1972,Boone,Richard,M,1917,1981,craggy; menacing roles,Am
John Boorman,1978,1978,Boorman,John,M,1933,1984,unknown,Br
Connie Booth,,,,,F,,1992,unknown,Ct
David Booth,1960,1978,Geeves-Booth,David,M,1930,,innocent or villainous,Br
Shirley Booth,1952,1973,Booth,Thelma Ford,F,1907,1992,middle-aged roles,Am
Powers Boothe,1980,1983,Boothe,Powers,M,,1984,overpowering,Am
Paola Borboni,,,,,F,,1992,unknown,Ct
Matt Borel,,,,,M,,1992,unknown,Ct
Veda Ann Borg,1936,1960,Borg,Veda,F,1915,1973,archetypal hard-boiled blonde,Am
Dirk Borgarde,,,,,M,,1992,unknown,Ct
Victor Borge,1943,,Borge,Victor,M,,1984,humerous pianist,Da
Nelly Borgeaud,,,,,F,,1992,unknown,Ct
Ernest Borgnine,1951,1984,Borgnino,Ermes,M,1915,1984,forceful,Am
Tom Bosley,1946,1976,Bosley,Tom,M,1927,1984,plump,Am
Barry Bostwick,1971,1980,Bostwick,Barry,M,1946,1984,personable; tall,Am
Benjamin Bottoms,,,,,M,,1992,unknown,Ct
Joseph Bottoms,1974,1981,Bottoms,Joseph,M,1954,1984,juvenile,Am
Sam Bottoms,1971,1979,Bottoms,Sam,M,1960,1984,lead,Am
Timothy Bottoms,1971,1980,Bottoms,Timothy,M,1949,1984,lead,Am
Barbara Bouchet,1965,1976,Gutscher,Barbara,F,1943,1984,glamour girl,Ge
Daniel Boulanger,,,,,M,,1992,unknown,Ct
Mathew Boulton,,,,,M,,1992,unknown,Ct
Carole Bouquet,,,,,F,,1992,unknown,Ct
Michel Bouquet,1947,1978,Bouquet,Michel,M,1926,1984,general purpose,Fr
Charon Bourke,,,,,,,1992,unknown,Ct
Phillip Bourneuf,1944,1970,Bourneuf,Phillip,M,1912,1979,older school,Am
Julie Bovasso,,,,,F,,1992,unknown,Ct
Tony Bova,,,,,M,,1992,unknown,Ct
Clara Bow,1922,1933,Bow,Clara,F,1905,1965,flapper; the `it' girl,Am
Dorris Bowdon,1939,1942,Bowdon,Dorris,F,1915,1984,lead,Am
Elizabeth Bowen,,,,,F,,1992,unknown,Ct
Roger Bowen,,,,,M,,1992,unknown,Ct
Malick Bowes,,,,,M,,1992,unknown,Ct
David Bowie,1976,1983,Jones,David Robert,M,1947,1984,musician; bizarrely decorated; makes curious forays,Br
Judy Bowker,1973,1981,Bowker,Judy,F,1954,1984,lead,Br
Lee Bowman,1936,1964,Bowman,Lee,M,1910,1979,light lead,Am
Bruce Boxleitner,1975,1983,Boxleitner,Bruce,M,1950,1984,lead,Am
Dorothy Boyd,,,,,F,,1992,unknown,Ct
Guy Boyd,,,,,M,,1992,unknown,Ct
Stephen Boyd,1955,1977,Millar,William,M,1928,1977,lead,Ir
William Boyd,1919,1948,Boyd,William,M,1895,1972,Hopalong Cassidy,Am
William `Stage' Stage,1932,1933,Boyd,William `Stage',M,,1992,lead,Am
Charles Boyer,1920,1964,Boyer,Charles,M,1899,1978,romantic,Fr
Lara Flynn Boyle,1989,,Boyle,Lara Flynn,F,1970,2001,aggressive flirt,Am
Peter Boyle,1968,1983,Boyle,Peter,M,1933,1984,rotund; balding,Am
The Bowery Boys,1942,1958,,,G,,,young hooligans,Am
Reizel Bozyk,1988,,Bozyk,Reizel,F,1914,1993,Jewish mother,Po
Marcel Bozzuffi,1969,1981,Bozzuffi,Marcel,M,1929,1984,balding,Fr
Eddie Bracken,1940,1953,Bracken,Eddie,M,1920,1984,nervous hayseed,Am
Jean Bradin,1928,,,,M,,1992,unknown,Ct
Terry Bradshaw,,,,,,,1992,unknown,Ct
Alice Brady,1916,1939,Brady,Alice,F,1892,1939,fluttery society matron; drab housewife,Am
Pat Brady,,, Brady,Pat,M,,,cowboy,Am
Rob Brady,,,,,M,,1992,unknown,Ct
Scott Brady,1948,1971,Tierney,Gerald,M,1924,1984,tough-looking,
Sonia Braga,1988,,Braga,Sonia,F,,1992,sexy,Br
Dame Lilian Braithwaite,1915,1947,Braithwaite,Dame Lilian,F,1873,1948,distinguished,Br
Wilfrid Brambell,1976,1968,Brambell,Wilfrid,M,1912,1985,grotesque,Am
Kenneth Branagh,1998,,Branagh,Kenneth,M,1960,1984,unknown,Ct
Miriam Brickman,1963,1977,Brickman,Miriam,F,,1984,unknown,GB
Wilford Brimley,1982,1985,Brimley,A.Wilford,M,,1992,friendly,Am
Kenneth Branagh,,,,,M,,1992,competent,
Neville Brand,1949,1980,Brand,Neville,M,1921,1984,thickset; Red Indian; gangster,Am
Klaus Maria Brandauer,1983,1990,Brandauer,Klaus Maria,M,1944,1984,hero,Ge
Marlon Brando,1950,1980,Brando,Marlon,M,1924,1984,modern male,Am
Henry Brandon,1934,1975,Kleinbach,Henry,M,1912,1984,character; menace,Am
Michael Brandon,1970,1979,Brandon,Michael,M,,1984,lead,Am
Betsy Brantley,,, Brantley,Betsy,F,,1984,friendly,Am
Claude Brasseur,1960,1979,Brasseur,Claude,M,1936,1984,unknown,Fr
Pierre Brasseur,1928,1968,Brasseur,Pierre,M,1903,1972,distinguished,Am
Rossano Brazzi,1948,1981,Brazzi,Rossano,M,1916,1984,handsome wimp,It
Larry Breeding,,,,,M,,1992,unknown,Ct
Hanna Brejchova,,,,,F,,1992,unknown,Ct
El Brendel,1926,1956,Brendel,El,M,1890,1964,mild-mannered; fake Swede,Am
Eileen Brennan,1967,1980,Brennan,Eileen,F,1935,1984,brassy,Am
Walter Brennan,1929,1972,Brennan,Walter,M,1894,1974,country wit,Am
Eve Brent,1955,1957,Brent,Eve,F,1930,1984,lead,Am
Evelyn Brent,1919,1948,Riggs,Mary Elizabeth,F,1899,1975,lead,Am
George Brent,1930,1978,Nolan,George Brent,M,1904,1979,tough,Ir
Timothy Brent,,,,,M,,1992,unknown,Ct
Edmund Breon,1930,1951,McLaverty,Edmund,M,1882,1951,beaming; monocled; amiable bumbler,Br
Patricia Breslin,1961,1962,bn,fn,F,,1984,good,Am
Felix Bressart,1931,1949,Bressart,Felix,M,1890,1949,downtrodden,Ge
Jeremy Brett,1956,1977,Huggins,Jeremy,M,1935,1984,light lead,Br
JeanClaude Brialy,,, Brialy,Jarn-ClaudeGn,M,,1984,unknown,Fr
David Brian,1949,1970,Brian,David,M,1914,1984,second lead,Am
Mary Brian,1924,1948,Dantzler,Louise,F,1908,1984,charming,Am
Fanny Brice,1933,1945,Borach,Fanny,F,1891,1951,plain funny girl,Am
Bricktop,1983,,bn,gn,M,,1984,unknown,Ct
Beau Bridges,1948,1980,Bridges,Beau,M,1941,1984,lead,Am
Jeff Bridges,1970,1982,Bridges,Jeff,M,1949,1984,lead,Am
Lloyd Bridges,1941,1982,Bridges,Lloyd,M,1913,1998,westerns; melodramas,Am
Wilford Brimley,,, Brimley,A. Wilford,M,,1992,unknown,Ct
Carl Brisson,1927,1935,Pedersen,Carl,M,1895,1958,lead,Da
May Britt,1952,1977,Wilkens,Maybritt,F,1933,1984,lead,Sw
Morgan Brittany,1962,1980,Cupito,Susanne,F,1953,1984,lead,Am
Barbara Britton,1940,1954,Crukor,Barbara Brantingham,F,1920,1980,lead,Am
Pamela Britton,1945,1974,Britton,Pamela,F,1923,1974,lightweight,Am
Tony Britton,1952,1976,Britton,Tony,M,1925,1984,quiet; polished,Br
Herman Brix,1934,1961,Brix,Herman,M,1909,1984,athletic,Am
Peter Brocco,,,,,M,,1992,unknown,Ct
Phil Brock,,,,,M,,1992,unknown,Ct
Gary Brockette,,,,,M,,1992,unknown,Ct
Helen Broderick,1931,1946,Broderick,Helen,F,1890,1959,wry-faced; comedienne,Am
James Broderick,1966,1980,Broderick,James,M,1927,1982,worried-looking,Am
Matthew Broderick,1983,1986,Broderick,Matthew,M,1951,1984,juvenile lead,Am
Steve Brodie,1945,1963,Stevens,John,M,1919,1984,tough-looking,Am
Estelle Brody,1926,1956,Brody,Estelle,F,1905,1995,,Am
James Brolin,1963,1983,Brolin,James,M,1940,1984,lead,Am
J.~Edward Bromberg,1936,1950,Bromberg,J.~Edward,M,1903,1951,plump; wide-eyed,Hu
John Bromfield,1948,1957,Bromfield,John,M,1922,1984,second lead,Am
Eleanor Bron,1965,1969,Bron,Eleanor,F,1934,1984,Bloomsburish,Br
Charles Bronson,1951,1983,Buchinski,Charles,M,1922,1984,somber; sturdy,Am
Clive Brook,1919,1963,Brook,Clifford,M,1887,1974,perfect gentleman,Br
Faith Brook,1942,1980,Brook,Faith,F,1922,1984,unknown,Br
Hillary Brooke,1937,1955,Peterson,Beatrice,F,1914,1984,statuesque,Am
Albert Brooks,1985,1994,Einstein,Albert Lawrence,M,1947,1984,cool comic,Am
Elisabeth Brooks,,,,,F,,1992,unknown,Ct
Geraldine Brooks,1947,1966,Stroock,Geraldine,F,1925,1977,intense,Am
Hildy Brooks,,,,,F,,1992,unknown,Ct
James L. Brooks,,, Brooks,James L.,M,,1984,unknown,Ct
Louise Brooks,1926,1935,,,F,,1985,unknown,Ct
Mel Brooks,1969,1983,Kaminsky,Melvin,M,1926,1984,offbeat,Am
Phyllis Brooks,1934,1945,Weiler,Phyllis,F,1914,1984,blonde,Am
Rand Brooks,1939,1974,Brooks,Rand,M,1918,1984,lead,Am
Ray Brooks,1962,1974,Brooks,Ray,M,1939,1984,lead,Br
Edward S. Brophy,1930,1958,Brophy,Edward S.,M,1895,1960,gangster; odd valet,Am
Pierce Brosnan,1991,,,,M,1952,1984,proper,Ct
Antonia Brough,,,,,F,,1992,unknown,Ct
Mary Brough,1914,1933,Brough,Mary,F,1863,1934,battleaxe; suspicious landlady,Br
